0-saiji Start Dash Monogatari,D,D,tag,0-saiji-start-dash-monogatari,summer-2024,Auto
Astro Note,D,D,tag,astro-note,spring-2024,Auto
Boku no Hero Academia 7th Season,D,D,tag,boku-no-hero-academia-7th-season,spring-2024,Auto
Boku no Tsuma wa Kanjou ga Nai,D,D,tag,boku-no-tsuma-wa-kanjou-ga-nai,summer-2024,Auto
Bye Bye Earth,D,D,tag,bye-bye-earth,summer-2024,Auto
Cardfight!! Vanguard: Divinez Season 2,D,D,tag,cardfight-vanguard-divinez-season-2,summer-2024,Auto
Date A Live V,D,D,tag,date-a-live-v,spring-2024,Auto
Dungeon no Naka no Hito,8,8,(Dungeon Employee),dungeon-no-naka-no-hito,summer-2024,Manual
Elf-san wa Yaserarenai.,D,D,tag,elf-san-wa-yaserarenai,summer-2024,Auto
Grendizer U,D,D,tag,grendizer-u,summer-2024,Auto
Hananoi-kun to Koi no Yamai,D,D,tag,hananoi-kun-to-koi-no-yamai,spring-2024,Auto
Hazurewaku no Joutai Ijou Skill de Saikyou ni Natta Ore ga Subete wo Juurin suru made,D,D,Problem with Show Title,hazurewaku-no-joutai-ijou-skill-de-saikyou-ni-natta-ore-ga-subete-wo-juurin-suru-made,summer-2024,Auto
Hibike! Euphonium 3,D,D,tag,hibike-euphonium-3,spring-2024,Auto
Himitsu no AiPri,D,D,tag,himitsu-no-aipri,spring-2024,Auto
Isekai Shikkaku,8,8,(An Hero),isekai-shikkaku,summer-2024,Manual
Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,D,D,tag,isekai-yururi-kikou-kosodateshinagara-boukensha-shimasu,summer-2024,Auto
Kami no Tou: Ouji no Kikan,D,D,tag,kami-no-tou-ouji-no-kikan,summer-2024,Auto
Karasu wa Aruji wo Erabanai,D,D,tag,karasu-wa-aruji-wo-erabanai,spring-2024,Auto
Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,D,D,tag,katsute-mahou-shoujo-to-aku-wa-tekitai-shiteita,summer-2024,Auto
Kenka Dokugaku,D,D,tag,kenka-dokugaku,spring-2024,Auto
Kimetsu no Yaiba: Hashira Geiko-hen,D,D,tag,kimetsu-no-yaiba-hashira-geiko-hen,spring-2024,Auto
